Symbol	Japanese
DELETE_MAP_CONFIRMATION	選択したマップを削除してもよろしいですか？\n削除したマップは復元できません。
MAP_LIMIT_REACHED	保存できるカスタムマップの上限数に達しました！\n新しいマップを保存するには、既存のマップを削除してスペースを確保する必要があります。
PAINT_TILE	ペイント
ERASE_TILE	消去
CHANGE_SELECTION	カーソルの移動
NAVIGATE	ナビゲート
MAPS	マップ
PREVIEW	プレビュー
MAP_SAVED	マップを保存しました
MAP_LOADED	マップをロードしました
MAP_CONDITION_STANDARD	ノーマル
MAP_CONDITION_EVENING	夜
MAP_CONDITION_STORMY	嵐
MAP_WEATHER_CLEAR	晴れ
MAP_WEATHER_RAIN	雨
MAP_WEATHER_SNOW	雪
YOU_MUST_PLACE_START_POSITIONS_FOR_BOTH_PLAYERS	両方のプレイヤーの開始位置が必要です。
NO_PATH_BETWEEN_PLAYER_START_POSITIONS	各プレイヤーのスタート位置の経路がありません。\n開始位置の間には到達可能な経路が必要です。
REMOVED_UNTRAVERSABLE_COMPONENT	開始位置から到達できないコンポーネントを削除しました。
TRAITS	特性
COMMANDER_OVERVIEW	コマンダーの概要
PROFILE	プロフィール
COMMANDER_NAME	名前
AFFILIATION	所属
SPECIALITY	特化技能
COMMANDER_POWER_TITLE	コマンダースキル
BIOGRAPHY	プロファイル
YOUR_COMMANDER	自軍コマンダー
ENEMY_COMMANDER	敵軍コマンダー
HIDDEN_Q_MARKS	????????
TRAIT_NOT_AVAILABLE	この特性は現在利用できません。
LOCKED	ロックされています
INACTIVE	非アクティブ
COMMANDER_TRAIT	コマンダー特性
LUELLA_AUGSTEIN_POWER_1	まだまだこれから！
LUELLA_AUGSTEIN_POWER_2	そんなものなの？　かかって来なよ！
LUELLA_AUGSTEIN_POWER_3	あたしの相手をするなら、もっと強くなきゃ！
LUELLA_AUGSTEIN_POWER_4	相手を侮ってたかもしれないな。でも、まだやれる！
LUELLA_AUGSTEIN_DEPLOY_1	ようやく出番か！　ルエラ・アウグシュタインとディアティ、出るよ！
LUELLA_AUGSTEIN_DEPLOY_2	兵装セット完了。さあ来い！　ルエラ・アウグシュタイン、ディアティで発進！
LUELLA_AUGSTEIN_REPAIR	ダメージを受けすぎた！　修理のために離脱するよ。
IZOL_LOKMAN_POWER_1	遊びはここまでだ。
IZOL_LOKMAN_POWER_2	断言しよう。貴様に良き結末は来ない。
IZOL_LOKMAN_POWER_3	見くびっていたか……。これ以上はやらせん！
IZOL_LOKMAN_POWER_4	勝ち名乗りなど、上げさせはしない！
IZOL_LOKMAN_DEPLOY_1	全システム正常。任務は必ず、私の手で成功させる。\nイゾル・ルクマーン、アービター、発進する。
IZOL_LOKMAN_DEPLOY_2	私ひとりでも、勝利を掴んでみせる！\nイゾル・ルクマーン、アービター、合流する。
IZOL_LOKMAN_REPAIR	このままではアービターを失いかねん。修理のため離脱する。
VINCENT_UVIIR_POWER_1	こりゃ、マジになる時かな……。
VINCENT_UVIIR_POWER_2	さーて、ギアを上げていくぞ！
VINCENT_UVIIR_POWER_3	あんたのせいだぜ！
VINCENT_UVIIR_POWER_4	もう終わりにしないか？
VINCENT_UVIIR_DEPLOY_1	さっさと片付けようか！　ヴィンセント・ユヴィール、メイルストロム、出るぞ！
VINCENT_UVIIR_DEPLOY_2	よし行こう、長引かせるのは無しだ。ヴィンセント・ユヴィール、メイルストロムで出撃。
VINCENT_UVIIR_REPAIR	マジでやられちまう。しばらく引っ込んでいたほうがいいな。
AURIELLE_KRUKOV_POWER_1	誰が真のストラテジストか、はっきりさせましょう！
AURIELLE_KRUKOV_POWER_2	今です、緊急整備！
AURIELLE_KRUKOV_POWER_3	私には見える！　あなたのプランの欠陥がね。
AURIELLE_KRUKOV_POWER_4	予測が正しいかどうか、これで確かめます……！
AURIELLE_KRUKOV_DEPLOY_1	作戦には、私が不可欠です！　オーリエル・クルコフ、ブルワークで出ます。
AURIELLE_KRUKOV_DEPLOY_2	部隊のみんな、今行きます！　オーリエル・クルコフ、ブルワークで発進。
AURIELLE_KRUKOV_REPAIR	後退します。ブルワークの損傷は、チェックしなければ。
LYSANDER_OSWELL_POWER_1	無駄なあがきだと教えてやる！
LYSANDER_OSWELL_POWER_2	私の導きで、この星系は繁栄するのだ！
CERVANTES_MORAY_POWER_1	お困りかなァ、ウサギちゃん！　ハハハ!!!
CERVANTES_MORAY_POWER_2	来た来たァ！　さあ、楽しもうぜ!!!
LUELLA_BIO	ルエラは生来のVAパイロットの才能に加え、DUSK強化によって更なる能力を与えられている。戦闘向けに遺伝子調整された彼女は、その高度な戦場認識能力により、現実離れしたスピードと効率で命令を下すことが可能である。
VINCENT_BIO	自信と才能の軍人、ヴィンセント。VAの操縦適性が高く、ネサリス軍で彼に匹敵するパイロットはわずかしか居ない。彼はその特異な戦闘記録によって、軍での裁量とメイルストロムの操縦権を獲得している。一見無関心とも取れる態度の下には、祖国を守るという強い義務感が燃えている。
IZOL_BIO	イゾルは冷静、正確、そして冷酷な男である。サンクタム軍で昇進を続けた彼は、圧倒的多数の敵にも常勝するという評価を得た結果、アービターのパイロットに選出された。惑星セルリアの英雄であり、敵対勢力にとっては悪夢である。
AURIELLE_BIO	若く聡明な指揮官・オーリエル。クルコフ鉱業社の軍事子会社、クルコフ・プライベート・アーミーを率いる彼女は、優秀な戦略の才能と、それに引けを取らない操縦技術を持ち合わせる。家督を継ぐために育てられたオーリエルの部隊は、海賊やその他の障害に採掘事業が妨げられないために活動している。
TRAIT_SNIPER_TRAINING	スナイパー・トレーニング
TRAIT_SNIPER_TRAINING_DESC	味方の "インサイト" の攻撃スキルの最大射程が{0}上昇する。
TRAIT_PATIENCE	耐久
TRAIT_PATIENCE_DESC	味方ユニットによるアーマーアップの継続ターン数を{0}延長する。
TRAIT_AMBUSH	奇襲砲撃
TRAIT_AMBUSH_DESC	味方の射線不要の攻撃スキルは、攻撃ダメージが{0}%上昇する。
TRAIT_SHARPSHOOTING	狙撃
TRAIT_SHARPSHOOTING_DESC	味方ユニットの最大射程{0}以上の攻撃スキルは、クリティカルヒット率が{1}%上昇する。
TRAIT_TERMINAL_VELOCITY	終端速度
TRAIT_TERMINAL_VELOCITY_DESC	味方ユニットの攻撃スキルを最大射程で使用した時、攻撃ダメージが{0}%上昇する。
TRAIT_GUERRILLA_TACTICS	ゲリラ戦術
TRAIT_GUERRILLA_TACTICS_DESC	森林または密林タイルの上にいる味方ユニットの物理防御値が{0}上昇する。
TRAIT_CQC_EXPERT	CQCエキスパート
TRAIT_CQC_EXPERT_DESC	最大射程がちょうど1の味方ユニットによる攻撃ダメージが{0}%上昇する。
TRAIT_URBAN_COMBAT_TRAINING	市街戦訓練
TRAIT_URBAN_COMBAT_TRAINING_DESC	都市タイルの上にいるターゲットに対して味方ユニットが攻撃した時、すべての攻撃ダメージが{0}%上昇する。
TRAIT_CUSTOM_VANGUARD_REACTORS	リアクター改造: ヴァンガード
TRAIT_CUSTOM_VANGUARD_REACTORS_DESC	味方の "ヴァンガード" の移動力が{0}上昇する。
TRAIT_HEAT_DISPERSION	熱分散
TRAIT_HEAT_DISPERSION_DESC	味方ユニットによるオーバーチャージの継続ターン数を{0}延長する。
TRAIT_BLITZ	ブリッツ
TRAIT_BLITZ_DESC	同じターン中に味方ユニットが{0}タイル以上移動して攻撃した時、クリティカルヒット率が{1}%上昇する。
TRAIT_GRIDLOCK	グリッドロック
TRAIT_GRIDLOCK_DESC	味方の攻撃スキルによる移動不能の継続ターン数を{0}延長する。
TRAIT_DISCIPLINE	規律
TRAIT_DISCIPLINE_DESC	敵の攻撃スキルによるダメージは、ターゲットに隣接する味方ユニットごとに{0}%減少する。
TRAIT_REINFORCED_INVADER_ARMOUR	アーマー改修: インベーダー
TRAIT_REINFORCED_INVADER_ARMOUR_DESC	味方の "インベーダー" の全ダメージタイプへの防御値が{0}上昇する。
TRAIT_REINFORCED_NOVUS_ARMOUR	アーマー改修: ノーヴァス
TRAIT_REINFORCED_NOVUS_ARMOUR_DESC	味方の "ノーヴァス" の全ダメージタイプへの防御値が{0}上昇する。
TRAIT_STEADFAST	不動
TRAIT_STEADFAST_DESC	同じターン中に味方ユニットが移動せず攻撃した時、攻撃ダメージが{0}%上昇する。
TRAIT_ATTRITION	武器消耗戦術
TRAIT_ATTRITION_DESC	味方の攻撃スキルによる弱体化ステータスの継続ターン数を{0}延長する。
TRAIT_DESTABILISATION	装甲消耗戦術
TRAIT_DESTABILISATION_DESC	味方の攻撃スキルによるアーマーダウンの継続ターン数を{0}延長する。
TRAIT_EXPERT_ENGINEERING	エキスパート・エンジニアリング
TRAIT_EXPERT_ENGINEERING_DESC	味方の修復スキルの効力が{0}%上昇する。
TRAIT_ADVANCED_AEGIS_DESIGN	次世代設計: イージス
TRAIT_ADVANCED_AEGIS_DESIGN_DESC	味方の "イージス" の全ダメージタイプへの防御値が{0}上昇し、移動力が{1}上昇する。
TRAIT_FACTORY_FAMILIARITY	工場の熟知
TRAIT_FACTORY_FAMILIARITY_DESC	工場または施設タイルの上にいるターゲットに対して味方ユニットが攻撃した時、すべての攻撃ダメージが{0}%上昇する。
TRAIT_ARMOUR_AUGMENTATION	アーマー増強
TRAIT_ARMOUR_AUGMENTATION_DESC	味方ユニットによるアーマーアップの継続ターン数を{0}延長する。
TRAIT_CHEMICAL_PAYLOADS	炸薬量増加
TRAIT_CHEMICAL_PAYLOADS_DESC	味方の爆発攻撃スキルのクリティカルヒット率が{0}%上昇する。
TRAIT_LOGIC_BOMB	ロジック・ボム
TRAIT_LOGIC_BOMB_DESC	味方の攻撃スキルによるウィルスの継続ターン数を{0}延長する。
INTEL	ヘルプ
TOPICS	トピック
HELP_CONTROLS	操作
HELP_MOUSE_KEYBOARD	マウス & キーボード
HELP_CONTROLLER	コントローラー
HELP_CONTROLS_SPACE	Space
HELP_CONTROLS_W	W
HELP_CONTROLS_A	A
HELP_CONTROLS_S	S
HELP_CONTROLS_D	D
HELP_CONTROLS_ESC	Esc
HELP_CONTROLS_TAB	Tab
HELP_BATTLE_MAP	戦闘マップ
HELP_MAP_EDITOR	マップエディター
HELP_MENUS	メニュー
HELP_MOVING_UNITS	ユニットの移動
HELP_USING_UNIT_SKILLS	ユニットスキルの使用
HELP_SP	戦略ポイント(SP)
HELP_CP	コマンダーパワー(CP)
HELP_CAPTURING_STRUCTURES	施設の占領
HELP_OUTPOSTS	前哨基地
HELP_EIONITE_REFINERIES	エイオナイト精製所
HELP_COMMANDER_POWERS	コマンダースキル
HELP_COMMANDER_UNITS	コマンダーユニット
HELP_COMMANDER_TRAITS	コマンダー特性
HELP_DAMAGE_TYPES	ダメージ種別
HELP_DEFENCE_RATINGS	防御値
HELP_COVER	カバー効果
HELP_CRITICAL_HITS	クリティカルヒット
HELP_CHECK_TOPICS	コマンダーメニューの "ヘルプ" を選択すると、ヘルプトピックを確認できます。
HELP_MOVING_UNITS_DESC	味方ユニットをクリックして移動オプションを選択すると、そのユニットの移動可能な範囲が表示されます。\n\n表示された範囲内の有効なタイルを選択すると、ユニットがその位置に移動します。\n\n移動後にキャンセル ボタンを押すと移動がキャンセルされ、ユニットは前の位置に戻ります。
HELP_USING_UNIT_SKILLS_DESC	味方ユニットをクリックしてスキルを選択すると、そのスキルの範囲と有効なターゲットが表示されます。\n\n範囲内の有効なターゲットを選択すると、その対象に向けてスキルを使用します。\n\n範囲が "セルフ" のスキルは、範囲表示なしですぐに使用します。
HELP_SP_DESC	戦略ポイント(SP)は、占領した前哨基地に増援ユニットを配備すると消費されます。
HELP_CP_DESC	コマンダースキルを使用したり、前哨基地にコマンダーの機体を配備するためには、CPゲージが最大になっている必要があります（CPが利用可能な状況に限る）。CPは戦闘によって蓄積されます。
HELP_CAPTURING_STRUCTURES_DESC	前哨基地とエイオナイト精製所は、占領スキルを持つユニットによって占領できます。\n\n中立の施設はすぐに占領できますが、敵軍の支配下にある施設は、まずオーバーライドする必要があります。\n\n敵施設のタイルにユニットを乗せると、占領コマンドが "オーバーライド" に変わります。\n\n敵施設をオーバーライドすると、次の味方ターンにその施設は占領状態になります。
HELP_OUTPOSTS_DESC	前哨基地は、占領スキルを持つヴァリアブルアーマーで占領できます。\n\n自軍の支配下にある前哨基地を選択すると、ユニット配備オプションが表示され、追加のヴァリアブルアーマーを戦場に配備することができます。\n\n前哨基地は1ターンにつき1つのユニットのみ配備可能です。タイル上にユニットが居る場合、前哨基地は選択できません。
HELP_EIONITE_REFINERIES_DESC	エイオナイト精製所は、占領スキルを持つヴァリアブルアーマーで占領できます。\n\n占領下にあるエイオナイト精製所は、所有者のターン開始時に追加のSPを供給します。
HELP_COMMANDER_POWERS_DESC	コマンダースキルは、戦いの流れを変えるのに役立つ、一定時間有効な効果です。\n\n各指揮官には固有のコマンダースキルがあり、効果はコマンダー情報画面で確認できます。\n\nコマンダースキルを有効化するには、CPゲージが最大になっている必要があります。
HELP_COMMANDER_UNITS_DESC	各指揮官は、強力な個性を持った指揮官用ヴァリアブルアーマーに搭乗できます。\n\n出撃可能なステージでは、通常のヴァリアブルアーマーと同じ手順で前哨基地に配備できます。\n\nただし、指揮官機の配備には、SPの代わりに最大値のCPゲージをすべて消費する必要があります。
HELP_COMMANDER_TRAITS_DESC	各指揮官は、戦いを有利に進められるユニークな特性を持っています。これらの効果はコマンダー情報画面で確認できます。
HELP_DAMAGE_TYPES_DESC	ダメージには、物理、エネルギー、爆発の3つのタイプがあります。\n\n攻撃スキルを使用する際には、ターゲットの同名の防御タイプによってダメージが左右されます。\n\n相手の防御値の低いタイプを選んで、最大のダメージを目指しましょう。
HELP_DEFENCE_RATINGS_DESC	各ユニットには、ダメージ タイプに対応する物理、エネルギー、爆発に対する防御値があります。\n\n防御値が高いほど、ユニットはそのダメージタイプへの耐性が高くなります。\n\n防御値は、特定のステータス効果や地形の影響を受けます。
HELP_COVER_DESC	地形は種類ごとのカバー効果を持っており、ユニットがタイルの上に居る間、防御値を高める効果があります。
HELP_CRITICAL_HITS_DESC	すべてのユニットの攻撃スキルは、クリティカルヒットになる可能性があり、与えるダメージが増加します。
HELP_ACTION_HOLD_BUTTON	(ホールド)
HELP_ACTION_PAUSE_GAME	ポーズ
HELP_ACTION_PREV_UNIT	前のユニット
HELP_ACTION_NEXT_UNIT	次のユニット
HELP_ACTION_SELECT_UNIT	ユニットの選択
HELP_ACTION_COMMANDER_MENU	コマンダーメニュー
HELP_ACTION_MOVE_CURSOR	カーソルの移動
HELP_ACTION_SKIP	スキップ
HELP_ACTION_SPEED_UP	スピードアップ
HELP_ACTION_SCROLL_TEXT	テキストのスクロール
HELP_ACTION_PAN_CAMERA_UP	カメラ 上
HELP_ACTION_PAN_CAMERA_DOWN	カメラ 下
HELP_ACTION_PAN_CAMERA_LEFT	カメラ 左
HELP_ACTION_PAN_CAMERA_RIGHT	カメラ 右
LAUNCH_MISSION	出撃
MISSION	ミッション
MISSION_SITE	ミッションの場所
MISSIONS	ミッション
MISSION_SELECT	MISSION SELECT
MISSION_INFO	ミッション情報
MAIN_MISSION	メインミッション
SUB_MISSION	サブミッション
VIEW_MAP	マップ確認
CHAPTER	チャプター {0}
CHAPTER_ABBREVIATED	CH. {0}
FINALE	フィナーレ
DIFFICULTY	難易度
CAMPAIGN_DIFFICULTY	キャンペーンの難易度
DIFFICULTY_VERY_EASY	Very Easy
DIFFICULTY_EASY	Easy
DIFFICULTY_NORMAL	Normal
DIFFICULTY_HARD	Hard
DIFFICULTY_VERY_HARD	Very Hard
OBJECTIVE	目標
CAPTURE	占領
MISSION_IN_PROGRESS	進行中
WARNING_TRANSMISSION_OVERRIDE	WARNING! TRANSMISSION OVERRIDE!
OBJECTIVES_UPDATED	作戦目標が更新されました
HELP_CHECK_OBJECTIVES	コマンダーメニューの "ヘルプ" から、\n作戦目標と敗北条件を確認できます。
RANK	ランク
RANK_S	S
RANK_A	A
RANK_B	B
RANK_C	C
RANK_D	D
CAMPAIGN_INTRO	エイオナイト。精製することで膨大なエネルギー源となる鉱石である。\n\nこの精製エイオナイトの発見によって、惑星セルリアの技術は飛躍的に発展した。しかし同時に、その繁栄の時代は人口爆発の危機をもたらした。\n\n陸地と資源が枯渇する中、人工の生息地・スペースコロニーが宇宙に展開された。惑星セルリアの住民のほとんどを収容可能なコロニーによって、社会は破綻を免れた。\n\nしかしセルリアの統治機関・サンクタムは、コロニーの自治権を承認しなかった。これに反発したコロニー群は同盟を結び、以後「ネサリス」と呼ばれるようになる。\n\nサンクタムとネサリスが戦争を始めると、ヴァリアブルアーマーという新たなタイプの兵器が脚光を浴びた。巨大な人型のウォー・マシンが、戦争のかたちを不可逆に変えてしまったのだ。\n\n後にソブリン戦争と呼ばれたこの戦いは、ネサリスの自治権を維持するかたちで決着した。だがアウロス星系の政治的緊張は、今に至るまで解けてはいない。
MISSION_NAME_LUELLA_00	エース
MISSION_NAME_LUELLA_01	ライフライン
MISSION_NAME_LUELLA_02	エクソダス
MISSION_NAME_LUELLA_03	ラボラトリ
MISSION_NAME_LUELLA_04	イニシアティブ
MISSION_NAME_LUELLA_05	プリズン・ブレイク
MISSION_NAME_LUELLA_06	パイレーツ・ベイ
MISSION_NAME_LUELLA_07	マインフィールド
MISSION_NAME_LUELLA_08	ルーエン
MISSION_NAME_LUELLA_09	ダスク
MISSION_NAME_LUELLA_10	パラゴン
MISSION_DESCRIPTION_LUELLA_00	NOMAD傭兵団は惑星セルリアに降下し、ヴァリアブルアーマーのエネルギー源であるエイオナイトを探索する。
MISSION_DESCRIPTION_LUELLA_01	ルエラは初めて指揮官の役割を引き受け、都市防衛の任務を遂行する。
MISSION_DESCRIPTION_LUELLA_02	NOMADは、セルリア市民の移住を支援するミッションを受諾する。
MISSION_DESCRIPTION_LUELLA_03	サムは匿名の要請に応じ、セルリア軍の施設へNOMADを派遣する。
MISSION_DESCRIPTION_LUELLA_04	ルエラは、NOMADの空母ベイグラントへの脅威を阻止すべく出撃する。
MISSION_DESCRIPTION_LUELLA_05	NOMADは、囚われた仲間たちを取り戻すための救出作戦を展開する。
MISSION_DESCRIPTION_LUELLA_06	NOMADはセルリアの宙域から脱出中に、思わぬ敵対者と遭遇する。
MISSION_DESCRIPTION_LUELLA_07	ルエラは、サムが過去にネサリスのヴァリアブルアーマー技師として働いていた施設を調査しなければならない。
MISSION_DESCRIPTION_LUELLA_08	サムはルエラを救うため、危険な決断をする。
MISSION_DESCRIPTION_LUELLA_09	NOMADがルーエンのネサリス軍から逃れるには、戦わねばならない。
MISSION_DESCRIPTION_LUELLA_10	ルエラはチームを率いて、宇宙要塞パラゴンを内部から破壊する。
MISSION_LUELLA_00_CAPTURE_OBJECTIVE	"ハボック" または "ノーヴァス" の占領スキルを使い、エイオナイト精製所を占領する。
MISSION_LUELLA_00_START_LINE_1	よし、改めてコマンダーの命令を確認する。
MISSION_LUELLA_00_START_LINE_2	今回の目的は、あのエイオナイト精製所の確保だ。\n独立傭兵団の俺達NOMADとしては、エネルギーの補給は必要だからな。
MISSION_LUELLA_00_START_LINE_3	通信は最小限にしろ。サンクタムの部隊に見つからないよう、事を済ませるぞ。
MISSION_LUELLA_00_START_LINE_4	各員、行動開始。
MISSION_LUELLA_00_MID_LINE_1	セルリア軍!?　戦闘は避けられないか。
MISSION_LUELLA_00_MID_LINE_2	コマンダー、こちらは目標の確保に成功。ですがセルリア軍に捕捉されました。
MISSION_LUELLA_00_MID_LINE_3	包囲されています。戦力差も大きい。即時支援を求む。
MISSION_LUELLA_00_MID_LINE_4	……クソッ、奴らの通信妨害か？
MISSION_LUELLA_00_MID_LINE_5	ルエラ、地上部隊が完全に包囲されている。通信もできん！
MISSION_LUELLA_00_MID_LINE_6	セルリア軍のジャミングに違いない。
MISSION_LUELLA_00_MID_LINE_7	（カチカチッ……カチッ）
MISSION_LUELLA_00_MID_LINE_8	よし……サブシステム、オンライン……兵装チェック……。
MISSION_LUELLA_00_MID_LINE_9	ルエラ、どこだ！　出撃準備はどうした！
MISSION_LUELLA_00_MID_LINE_10	準備ならできてるよ、サム。いつでも行ける。
MISSION_LUELLA_00_MID_LINE_11	ルエラ・アウグシュタイン！　"ディアティ"、降下開始！
MISSION_LUELLA_00_MID_LINE_12	間に合ったみたいね。みんな、状況は？
MISSION_LUELLA_00_MID_LINE_13	たった今、最高になったとこだ。\nNOMADのエースパイロットが来てくれたんだものな。
MISSION_LUELLA_00_MID_LINE_14	OK！　さーて、貴族のイヌどもの腕試しと行くか！
MISSION_LUELLA_00_END_LINE_1	お前もディアティも、無事でなによりだ。
MISSION_LUELLA_00_END_LINE_2	あたしたちが確保したエイオナイト精製所のおかげで、燃料満タンで戻って来れたんだからね。
MISSION_LUELLA_00_END_LINE_3	よくやってくれているよ。\nヴァリアブルアーマーのパイロットとしては脅威的なほどだ。
MISSION_LUELLA_00_END_LINE_4	そうだね、あたしのDUSK強化は役に立ってる。父さんと母さんのおかげだ。
MISSION_LUELLA_00_END_LINE_5	今も彼らが居れば……ルエラが俺と傭兵稼業なんぞしているのを、親としてはどう思うだろうな。
MISSION_LUELLA_00_END_LINE_6	会ったこともない人たちが、あたしの選択をどう思うかなんて分かんないよ。両親のことは、サム、あんたが教えてくれたことしか知らない。
MISSION_LUELLA_00_END_LINE_7	そうだったな。たとえローレンとガードが望んでいなかったとしても、お前が自分で選び取った生き方だ。
MISSION_LUELLA_00_END_LINE_8	聞いてくれ、ルエラ。次のミッションでは、お前にNOMADの指揮をやってもらう。コマンダーとして学んだことを実践してみせろ。
MISSION_LUELLA_00_END_LINE_9	詳細はお前の端末に送っておいた。準備ができたら、ブリーフィングルームに来い。
MISSION_LUELLA_01_DEPLOY_HAVOK_OBJECTIVE	前哨基地の配備オプションを開き、\n"ハボック" を配備する。
MISSION_LUELLA_01_BRIEFING_LINE_1	"ライフライン" からの直接の依頼だ。彼らはシティ88の同胞を保護しようとしている。その間に我々がサンクタムの攻撃部隊を阻止する、という内容だな。
MISSION_LUELLA_01_BRIEFING_LINE_2	ライフライン？
MISSION_LUELLA_01_BRIEFING_LINE_3	反貴族主義を掲げるレジスタンスの、わずかな生き残りさ。\n聖議会サンクタムを民主的な世界政府に置き換えることを求めている。\nネサリスのスペースコロニー共和同盟と同じような形態にな。
MISSION_LUELLA_01_BRIEFING_LINE_4	そういうのって、サンクタムとしては許さないんでしょ？\n金持ちのエリートがセルリアを支配すべきだって考えていれば、\n民衆のことなんか何とも思ってないんだからさ。
MISSION_LUELLA_01_BRIEFING_LINE_5	そうだ。奴らは反対の声を武力で黙らせるだろう。\nそのサンクタムの攻撃部隊が、ライフラインの構成員を検挙するため\nシティ88へと目下移動中というわけだ。
MISSION_LUELLA_01_BRIEFING_LINE_6	攻撃部隊のセルリア軍VAは、西側の2つのポイントから現れると予測される。
MISSION_LUELLA_01_BRIEFING_LINE_7	我々が到着するのはシティ88の東側だ。俺は指揮の説明のためにブリッジに上がるが、ルエラ、お前も長々と準備しているヒマは無いぞ。
MISSION_LUELLA_01_BRIEFING_LINE_8	こっちもいつでもいいよ、サム。やろう！
MISSION_LUELLA_01_START_LINE_1	よし、ルエラ。仕事にかかるぞ。
MISSION_LUELLA_01_START_LINE_2	ライフラインがシティに前哨基地を用意してくれているな。\nこれを使えば、俺たちの船 "ベイグラント" から新しく部隊を呼ぶことができる。
MISSION_LUELLA_01_START_LINE_3	前哨基地を選択し、配備メニューから "ハボック" を呼び出してみろ。
MISSION_LUELLA_01_START_LINE_4	いいぞ！　しかも、ここは地の利もある。
MISSION_LUELLA_01_START_LINE_5	この手の建造物は部隊の移動を遅らせてしまうが、身を守るのにも役立つんだ。民間人はライフラインが避難させたから、街の構造はうまく使っていけ。
MISSION_LUELLA_01_START_LINE_6	残りの戦力、我々NOMADの初期対応チームも到着する頃だ。
MISSION_LUELLA_01_START_LINE_7	前哨基地から増援を配備すると、戦略ポイント(SP)が消費されることに注意しろ。
MISSION_LUELLA_01_START_LINE_8	占領したエイオナイト精製所は、各ターンの開始時にSPを生成してくれる。
MISSION_LUELLA_01_START_LINE_9	SPを安定して補充するために、ハボックを精製所に送り込んで占領しておくといい。
MISSION_LUELLA_01_START_LINE_10	俺からは以上だ、ルエラ。あとは任せるから、今まで学んだことを見せてくれよ。
MISSION_LUELLA_01_START_LINE_11	ありがと、サム！　がっかりさせないからね！
MISSION_LUELLA_01_END_LINE_1	ライフラインからの報告だ。民衆を避難させ、メンバーも脱出することができた、奮闘に感謝する……とな。
MISSION_LUELLA_01_END_LINE_2	あの貴族の連中、ライフラインみたいな考えを徹底的に弾圧する気みたいに思えたな。
MISSION_LUELLA_01_END_LINE_3	あたしたちが関わったことも、バレないわけはないんだろうね。
MISSION_LUELLA_02_BRIEFING_LINE_1	次のミッションは、シティ15の市民からの直接の依頼だ。
MISSION_LUELLA_02_BRIEFING_LINE_2	リージョンBの、シティ15……何かで読んだ覚えがあるよ。\n惑星セルリアの人口爆発の時に、最悪の被害があったところでしょ？
MISSION_LUELLA_02_BRIEFING_LINE_3	スペースコロニーが打ち上げられて人口は安定したが、\nそこから長い時間が経っても、セルリアでは未だに多くの地域が復興に難儀している。
MISSION_LUELLA_02_BRIEFING_LINE_4	シティ15の住民としては、スペースコロニーでの新しい生活か、セルリアのもっと居住に適した地域への移住か……どちらにせよ退去を望んでいるわけだな。
MISSION_LUELLA_02_BRIEFING_LINE_5	だがサンクタムは、市民の移住を違法にしているだろう？
MISSION_LUELLA_02_BRIEFING_LINE_6	あれは、そう、住みやすい場所の人口密集を防ぐって言い分だったな。
MISSION_LUELLA_02_BRIEFING_LINE_7	移動とか補給ができなければ、ライフラインみたいな抵抗運動も難しくなるよね。
MISSION_LUELLA_02_BRIEFING_LINE_8	悪いことは更にある。\nセルリア軍は不穏な動きを見逃さないように、予防策を講じているんだ。
MISSION_LUELLA_02_BRIEFING_LINE_9	それが、このシティ郊外の前哨基地だ。\nシティに関するすべての出入りを監視し、抑止力として機能している。
MISSION_LUELLA_02_BRIEFING_LINE_10	いや、それは問題ないんじゃない？　このベイグラントから直接VAで降りちゃえばさ！
